# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.01,0,4,32,2048,207,1.324E+04,1.089,0,21.26,308,0.6968,0.01089,3.61E-05,2.701E-07,3.583E-05
8,0.02,0,4,32,2048,386,2.477E+04,1.019,0,28.65,315,1.304,0.02037,3.633E-05,5.001E-07,3.583E-05
8,0.03,0,4,32,2048,568,3.636E+04,0.9967,0,43.81,586,1.914,0.0299,3.656E-05,7.253E-07,3.583E-05
8,0.04,0,4,32,2048,808,5.173E+04,1.063,0,135.4,1442,2.722,0.04254,3.686E-05,1.028E-06,3.583E-05
8,0.05,0,4,32,2048,962,6.117E+04,1.006,0,304.8,3509,3.22,0.05031,3.713E-05,1.298E-06,3.583E-05
8,0.06,0,4,32,2048,1078,6.861E+04,0.9403,0,344.4,4920,3.611,0.05642,3.724E-05,1.401E-06,3.583E-05
8,0.07,0,4,32,2048,1176,7.487E+04,0.8795,0,1531,1.056E+04,3.94,0.06157,3.738E-05,1.55E-06,3.583E-05
8,0.08,0,4,32,2048,1178,7.53E+04,0.774,0,1903,1.054E+04,3.963,0.06192,3.736E-05,1.529E-06,3.583E-05
8,0.09,0,4,32,2048,1234,7.839E+04,0.7163,0,2698,1.188E+04,4.126,0.06446,3.745E-05,1.62E-06,3.583E-05
8,0.1,0,4,32,2048,1150,7.343E+04,0.6039,0,3620,1.384E+04,3.865,0.06039,3.738E-05,1.542E-06,3.583E-05
8,0.11,0,4,32,2048,1200,7.676E+04,0.5738,0,3637,1.63E+04,4.04,0.06312,3.748E-05,1.644E-06,3.583E-05
8,0.12,0,4,32,2048,1177,7.569E+04,0.5187,0,4061,1.528E+04,3.984,0.06224,3.741E-05,1.574E-06,3.583E-05
8,0.13,0,4,32,2048,1194,7.665E+04,0.4849,0,4630,1.536E+04,4.034,0.06303,3.748E-05,1.651E-06,3.583E-05
8,0.14,0,4,32,2048,1190,7.644E+04,0.449,0,5248,1.479E+04,4.023,0.06287,3.745E-05,1.621E-06,3.583E-05
8,0.15,0,4,32,2048,1190,7.631E+04,0.4184,0,5379,1.511E+04,4.016,0.06275,3.745E-05,1.616E-06,3.583E-05
8,0.16,0,4,32,2048,1195,7.642E+04,0.3928,0,5849,1.713E+04,4.022,0.06284,3.744E-05,1.605E-06,3.583E-05
8,0.17,0,4,32,2048,1184,7.583E+04,0.3668,0,6009,1.657E+04,3.991,0.06236,3.741E-05,1.579E-06,3.583E-05
8,0.18,0,4,32,2048,1215,7.788E+04,0.3558,0,6088,1.69E+04,4.099,0.06405,3.748E-05,1.643E-06,3.583E-05
8,0.19,0,4,32,2048,1213,7.788E+04,0.3371,0,6649,1.685E+04,4.099,0.06405,3.745E-05,1.62E-06,3.583E-05
8,0.2,0,4,32,2048,1227,7.857E+04,0.3231,0,6856,1.648E+04,4.135,0.06461,3.748E-05,1.644E-06,3.583E-05
8,0.21,0,4,32,2048,1171,7.497E+04,0.2936,0,6871,1.821E+04,3.946,0.06165,3.743E-05,1.592E-06,3.583E-05
8,0.22,0,4,32,2048,1160,7.421E+04,0.2774,0,7126,1.762E+04,3.906,0.06103,3.742E-05,1.59E-06,3.583E-05
8,0.23,0,4,32,2048,1158,7.423E+04,0.2654,0,7102,1.666E+04,3.907,0.06104,3.742E-05,1.582E-06,3.583E-05
8,0.24,0,4,32,2048,1185,7.569E+04,0.2594,0,7186,1.750E+04,3.984,0.06225,3.74E-05,1.571E-06,3.583E-05
8,0.25,0,4,32,2048,1214,7.769E+04,0.2555,0,7336,1.852E+04,4.089,0.06389,3.745E-05,1.613E-06,3.583E-05
8,0.26,0,4,32,2048,1172,7.503E+04,0.2373,0,7385,1.732E+04,3.949,0.0617,3.739E-05,1.555E-06,3.583E-05
8,0.27,0,4,32,2048,1223,7.837E+04,0.2387,0,7729,1.749E+04,4.125,0.06445,3.747E-05,1.64E-06,3.583E-05
8,0.28,0,4,32,2048,1209,7.739E+04,0.2273,0,7916,1.747E+04,4.073,0.06364,3.746E-05,1.623E-06,3.583E-05
8,0.29,0,4,32,2048,1217,7.817E+04,0.2217,0,7626,1.74E+04,4.114,0.06429,3.749E-05,1.655E-06,3.583E-05
8,0.3,0,4,32,2048,1220,7.833E+04,0.2147,0,7718,1.734E+04,4.123,0.06441,3.749E-05,1.658E-06,3.583E-05
8,0.31,0,4,32,2048,1188,7.6E+04,0.2016,0,8166,1.756E+04,4,0.0625,3.745E-05,1.615E-06,3.583E-05
8,0.32,0,4,32,2048,1209,7.744E+04,0.199,0,8508,1.903E+04,4.076,0.06368,3.749E-05,1.654E-06,3.583E-05
8,0.33,0,4,32,2048,1197,7.681E+04,0.1914,0,8203,1.782E+04,4.043,0.06317,3.743E-05,1.599E-06,3.583E-05
8,0.34,0,4,32,2048,1221,7.813E+04,0.189,0,8181,1.889E+04,4.112,0.06425,3.745E-05,1.616E-06,3.583E-05
8,0.35,0,4,32,2048,1187,7.594E+04,0.1784,0,8615,1.783E+04,3.997,0.06245,3.746E-05,1.622E-06,3.583E-05
8,0.36,0,4,32,2048,1198,7.669E+04,0.1752,0,8316,1.815E+04,4.036,0.06306,3.741E-05,1.577E-06,3.583E-05
8,0.37,0,4,32,2048,1239,7.937E+04,0.1764,0,8436,1.837E+04,4.177,0.06527,3.75E-05,1.67E-06,3.583E-05
