# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.01,0,4,32,2048,178,1.138E+04,0.9354,0,15.84,246,0.5987,0.009354,3.605E-05,2.167E-07,3.583E-05
8,0.02,0,4,32,2048,405,2.59E+04,1.065,0,22.84,248,1.363,0.0213,3.631E-05,4.774E-07,3.583E-05
8,0.03,0,4,32,2048,558,3.58E+04,0.9814,0,30.62,406,1.884,0.02944,3.65E-05,6.659E-07,3.583E-05
8,0.04,0,4,32,2048,749,4.779E+04,0.9825,0,38.67,463,2.515,0.0393,3.669E-05,8.517E-07,3.583E-05
8,0.05,0,4,32,2048,923,5.902E+04,0.9707,0,50.05,831,3.106,0.04854,3.692E-05,1.089E-06,3.583E-05
8,0.06,0,4,32,2048,1177,7.557E+04,1.036,0,79.03,954,3.977,0.06215,3.722E-05,1.386E-06,3.583E-05
8,0.07,0,4,32,2048,1380,8.846E+04,1.039,0,95.21,1303,4.656,0.07275,3.744E-05,1.602E-06,3.583E-05
8,0.08,0,4,32,2048,1524,9.737E+04,1.001,0,178.4,1821,5.125,0.08007,3.763E-05,1.792E-06,3.583E-05
8,0.09,0,4,32,2048,1687,1.078E+05,0.985,0,236.1,2763,5.673,0.08865,3.783E-05,1.996E-06,3.583E-05
8,0.1,0,4,32,2048,1821,1.165E+05,0.9584,0,388,4051,6.134,0.09584,3.798E-05,2.142E-06,3.583E-05
8,0.11,0,4,32,2048,2005,1.28E+05,0.9573,0,1108,6058,6.739,0.1053,3.818E-05,2.344E-06,3.583E-05
8,0.12,0,4,32,2048,2082,1.329E+05,0.911,0,1431,9350,6.996,0.1093,3.826E-05,2.428E-06,3.583E-05
8,0.13,0,4,32,2048,2147,1.374E+05,0.8693,0,1551,8556,7.233,0.113,3.84E-05,2.562E-06,3.583E-05
8,0.14,0,4,32,2048,2080,1.327E+05,0.7795,0,2450,9982,6.985,0.1091,3.834E-05,2.509E-06,3.583E-05
8,0.15,0,4,32,2048,2203,1.404E+05,0.7699,0,2273,8760,7.391,0.1155,3.843E-05,2.592E-06,3.583E-05
8,0.16,0,4,32,2048,2179,1.388E+05,0.7135,0,2812,1.148E+04,7.306,0.1142,3.839E-05,2.554E-06,3.583E-05
8,0.17,0,4,32,2048,2159,1.379E+05,0.6673,0,3631,1.414E+04,7.26,0.1134,3.84E-05,2.569E-06,3.583E-05
8,0.18,0,4,32,2048,2192,1.401E+05,0.6399,0,3518,1.445E+04,7.372,0.1152,3.845E-05,2.621E-06,3.583E-05
8,0.19,0,4,32,2048,2158,1.379E+05,0.5968,0,4060,1.246E+04,7.257,0.1134,3.838E-05,2.551E-06,3.583E-05
8,0.2,0,4,32,2048,2211,1.412E+05,0.5806,0,4156,1.299E+04,7.431,0.1161,3.847E-05,2.636E-06,3.583E-05
