# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.01,0,4,32,2048,172,1.108E+04,0.911,0,18.19,256,0.5831,0.00911,3.604E-05,2.093E-07,3.583E-05
8,0.01,1,4,32,2048,189,1.215E+04,0.9989,0,22.51,274,0.6393,0.009989,3.608E-05,2.336E-07,3.584E-05
8,0.01,2,4,32,2048,179,1.148E+04,0.9444,0,18.42,143,0.6044,0.009444,3.608E-05,2.32E-07,3.584E-05
8,0.01,3,4,32,2048,170,1.084E+04,0.8915,0,22.78,351,0.5706,0.008915,3.606E-05,2.156E-07,3.584E-05
8,0.01,4,4,32,2048,211,1.35E+04,1.11,0,22.25,216,0.7104,0.0111,3.61E-05,2.536E-07,3.585E-05
8,0.01,5,4,32,2048,205,1.312E+04,1.079,0,19.6,242,0.6904,0.01079,3.61E-05,2.51E-07,3.585E-05
8,0.02,0,4,32,2048,372,2.364E+04,0.972,0,23.71,273,1.244,0.01944,3.63E-05,4.648E-07,3.583E-05
8,0.02,1,4,32,2048,367,2.35E+04,0.9663,0,23.98,271,1.237,0.01933,3.632E-05,4.746E-07,3.584E-05
8,0.02,2,4,32,2048,366,2.358E+04,0.9697,0,22.89,332,1.241,0.01939,3.63E-05,4.571E-07,3.584E-05
8,0.02,3,4,32,2048,367,2.35E+04,0.9663,0,26.13,398,1.237,0.01933,3.628E-05,4.388E-07,3.584E-05
8,0.02,4,4,32,2048,362,2.338E+04,0.9615,0,22.99,388,1.231,0.01923,3.63E-05,4.526E-07,3.585E-05
8,0.02,5,4,32,2048,381,2.446E+04,1.006,0,31.38,392,1.287,0.02012,3.633E-05,4.771E-07,3.585E-05
8,0.03,0,4,32,2048,558,3.571E+04,0.9788,0,28.84,507,1.879,0.02936,3.653E-05,6.921E-07,3.583E-05
8,0.03,1,4,32,2048,541,3.482E+04,0.9545,0,37.2,426,1.833,0.02863,3.651E-05,6.697E-07,3.584E-05
8,0.03,2,4,32,2048,566,3.61E+04,0.9896,0,38.18,543,1.9,0.02969,3.654E-05,6.953E-07,3.584E-05
8,0.03,3,4,32,2048,560,3.596E+04,0.9857,0,35.78,839,1.893,0.02957,3.654E-05,6.926E-07,3.584E-05
8,0.03,4,4,32,2048,572,3.636E+04,0.9968,0,48.71,785,1.914,0.0299,3.655E-05,6.969E-07,3.585E-05
8,0.03,5,4,32,2048,572,3.674E+04,1.007,0,56.3,963,1.934,0.03021,3.657E-05,7.191E-07,3.585E-05
